model_label,mean_final_steps,mean_final_reward
Hindsight bound,9.447222222,0.3774985528
Hindsight bound,9.45,0.3776259139
Hindsight bound,9.452777778,0.3776927722
Hindsight bound,9.455555556,0.3777640111
Hindsight bound,9.458333333,0.3778308694
Hindsight bound,9.461111111,0.3778941972
Hindsight bound,9.463888889,0.3779503417
Hindsight bound,9.466666667,0.3780124028
Hindsight bound,9.469444444,0.3780685472
Hindsight bound,9.472222222,0.3781156
Hindsight bound,9.475,0.3781789278
Hindsight bound,9.477777778,0.3782338056
Hindsight bound,9.480555556,0.3782971333
Hindsight bound,9.483333333,0.3783377528
Hindsight bound,9.486111111,0.3783912667
Hindsight bound,9.488888889,0.3784461444
Hindsight bound,9.491666667,0.3785094722
Hindsight bound,9.494444444,0.3785500917
Hindsight bound,9.497222222,0.3785954861
Hindsight bound,9.5,0.3786588139
Hindsight bound,9.502777778,0.3786999778
Hindsight bound,9.505555556,0.3787579667
Hindsight bound,9.508333333,0.378807825
Hindsight bound,9.511111111,0.3788711528
Hindsight bound,9.513888889,0.3789117722
Hindsight bound,9.516666667,0.3789500778
Hindsight bound,9.519444444,0.3791705361
Hindsight bound,9.522222222,0.3793775972
Hindsight bound,9.525,0.3795176833
Hindsight bound,9.527777778,0.3798046778
Hindsight bound,9.530555556,0.3799447639
Hindsight bound,9.533333333,0.380084075
Hindsight bound,9.536111111,0.3801509333
Hindsight bound,9.538888889,0.3802782944
Hindsight bound,9.541666667,0.3803451528
Hindsight bound,9.544444444,0.3804163917
Hindsight bound,9.547222222,0.38048325
Hindsight bound,9.55,0.3805465778
Hindsight bound,9.552777778,0.3806027222
Hindsight bound,9.555555556,0.3806647833
Hindsight bound,9.558333333,0.3807209278
Hindsight bound,9.561111111,0.3807679806
Hindsight bound,9.563888889,0.3808313083
Hindsight bound,9.566666667,0.3808861861
Hindsight bound,9.569444444,0.3809495139
Hindsight bound,9.572222222,0.3809901333
Hindsight bound,9.575,0.3810436472
Hindsight bound,9.577777778,0.381098525
Hindsight bound,9.580555556,0.3811618528
Hindsight bound,9.583333333,0.3812024722
Hindsight bound,9.586111111,0.3812478667
Hindsight bound,9.588888889,0.3813111944
Hindsight bound,9.591666667,0.3813523583
Hindsight bound,9.594444444,0.3814103472
Hindsight bound,9.597222222,0.3814602056
Hindsight bound,9.6,0.3815235333
Hindsight bound,9.602777778,0.3815641528
Hindsight bound,9.605555556,0.3816024583
Hindsight bound,9.608333333,0.3816538222
Hindsight bound,9.611111111,0.3817140389
Hindsight bound,9.613888889,0.3817720278
Hindsight bound,9.616666667,0.3818126472
Hindsight bound,9.619444444,0.3818509528
Hindsight bound,9.622222222,0.3818992056
Hindsight bound,9.625,0.3819625333
Hindsight bound,9.627777778,0.3820031528
Hindsight bound,9.630555556,0.3820414583
Hindsight bound,9.633333333,0.3820872944
Hindsight bound,9.636111111,0.3821279139
Hindsight bound,9.638888889,0.3821662194
Hindsight bound,9.641666667,0.3822038472
Hindsight bound,9.644444444,0.3824190861
Hindsight bound,9.647222222,0.3825591722
Hindsight bound,9.65,0.3826984833
Hindsight bound,9.652777778,0.3827653417
Hindsight bound,9.655555556,0.3828927028
Hindsight bound,9.658333333,0.3829595611
Hindsight bound,9.661111111,0.3830308
Hindsight bound,9.663888889,0.3830976583
Hindsight bound,9.666666667,0.3831609861
Hindsight bound,9.669444444,0.3832171306
Hindsight bound,9.672222222,0.3832791917
Hindsight bound,9.675,0.3833353361
Hindsight bound,9.677777778,0.3833823889
Hindsight bound,9.680555556,0.3834457167
Hindsight bound,9.683333333,0.3835005944
Hindsight bound,9.686111111,0.3835639222
Hindsight bound,9.688888889,0.3836045417
Hindsight bound,9.691666667,0.3836580556
Hindsight bound,9.694444444,0.3837129333
Hindsight bound,9.697222222,0.3837762611
Hindsight bound,9.7,0.3838168806
Hindsight bound,9.702777778,0.383862275
Hindsight bound,9.705555556,0.3839256028
Hindsight bound,9.708333333,0.3839667667
Hindsight bound,9.711111111,0.3840247556
Hindsight bound,9.713888889,0.3840746139
Hindsight bound,9.716666667,0.3841379417
Hindsight bound,9.719444444,0.3841785611
Hindsight bound,9.722222222,0.3842168667
Hindsight bound,9.725,0.3842682306
Hindsight bound,9.727777778,0.3843284472
Hindsight bound,9.730555556,0.3843864361
Hindsight bound,9.733333333,0.3844270556
Hindsight bound,9.736111111,0.3844653611
Hindsight bound,9.738888889,0.3845136139
Hindsight bound,9.741666667,0.3845769417
Hindsight bound,9.744444444,0.3846175611
Hindsight bound,9.747222222,0.3846558667
Hindsight bound,9.75,0.3847017028
Hindsight bound,9.752777778,0.3847423222
Hindsight bound,9.755555556,0.3847806278
Hindsight bound,9.758333333,0.3848182556
Hindsight bound,9.761111111,0.3848665083
Hindsight bound,9.763888889,0.3849298361
Hindsight bound,9.766666667,0.3849704556
Hindsight bound,9.769444444,0.3851467194
Hindsight bound,9.772222222,0.3852868056
Hindsight bound,9.775,0.3854261167
Hindsight bound,9.777777778,0.385492975
Hindsight bound,9.780555556,0.3856203361
Hindsight bound,9.783333333,0.3856871944
Hindsight bound,9.786111111,0.3857584333
Hindsight bound,9.788888889,0.3858252917
Hindsight bound,9.791666667,0.3858886194
Hindsight bound,9.794444444,0.3859447639
Hindsight bound,9.797222222,0.386006825
Hindsight bound,9.8,0.3860629694
Hindsight bound,9.802777778,0.3861100222
Hindsight bound,9.805555556,0.38617335
Hindsight bound,9.808333333,0.3862282278
Hindsight bound,9.811111111,0.3862915556
Hindsight bound,9.813888889,0.386332175
Hindsight bound,9.816666667,0.3863856889
Hindsight bound,9.819444444,0.3864405667
Hindsight bound,9.822222222,0.3865038944
Hindsight bound,9.825,0.3865445139
Hindsight bound,9.827777778,0.3865899083
Hindsight bound,9.830555556,0.3866532361
Hindsight bound,9.833333333,0.3866944
Hindsight bound,9.836111111,0.3867523889
Hindsight bound,9.838888889,0.3868022472
Hindsight bound,9.841666667,0.386865575
Hindsight bound,9.844444444,0.3869061944
Hindsight bound,9.847222222,0.3869445
Hindsight bound,9.85,0.3869958639
Hindsight bound,9.852777778,0.3870560806
Hindsight bound,9.855555556,0.3871140694
Hindsight bound,9.858333333,0.3871546889
Hindsight bound,9.861111111,0.3871929944
Hindsight bound,9.863888889,0.3872412472
Hindsight bound,9.866666667,0.387304575
Hindsight bound,9.869444444,0.3873451944
Hindsight bound,9.872222222,0.3873835
Hindsight bound,9.875,0.3874293361
Hindsight bound,9.877777778,0.3874699556
Hindsight bound,9.880555556,0.3875082611
Hindsight bound,9.883333333,0.3875458889
Hindsight bound,9.886111111,0.3875941417
Hindsight bound,9.888888889,0.3876574694
Hindsight bound,9.891666667,0.3876980889
Hindsight bound,9.894444444,0.3877363944
Hindsight bound,9.897222222,0.3878379778
Hindsight bound,9.9,0.3879780639
Hindsight bound,9.902777778,0.388117375
Hindsight bound,9.905555556,0.3881842333
Hindsight bound,9.908333333,0.3883115944
Hindsight bound,9.911111111,0.3883784528
Hindsight bound,9.913888889,0.3884496917
Hindsight bound,9.916666667,0.38851655
Hindsight bound,9.919444444,0.3885798778
Hindsight bound,9.922222222,0.3886360222
Hindsight bound,9.925,0.3886980833
Hindsight bound,9.927777778,0.3887542278
Hindsight bound,9.930555556,0.3888012806
Hindsight bound,9.933333333,0.3888646083
Hindsight bound,9.936111111,0.3889194861
Hindsight bound,9.938888889,0.3889828139
Hindsight bound,9.941666667,0.3890234333
Hindsight bound,9.944444444,0.3890769472
Hindsight bound,9.947222222,0.389131825
Hindsight bound,9.95,0.3891951528
Hindsight bound,9.952777778,0.3892357722
Hindsight bound,9.955555556,0.3892811667
Hindsight bound,9.958333333,0.3893444944
Hindsight bound,9.961111111,0.3893856583
Hindsight bound,9.963888889,0.3894436472
Hindsight bound,9.966666667,0.3894935056
Hindsight bound,9.969444444,0.3895568333
Hindsight bound,9.972222222,0.3895974528
Hindsight bound,9.975,0.3896357583
Hindsight bound,9.977777778,0.3896871222
Hindsight bound,9.980555556,0.3897473389
Hindsight bound,9.983333333,0.3898053278
Hindsight bound,9.986111111,0.3898459472
Hindsight bound,9.988888889,0.3898842528
Hindsight bound,9.991666667,0.3899325056
Hindsight bound,9.994444444,0.3899958333
Hindsight bound,9.997222222,0.3900364528
Hindsight bound,10.0,0.3900747583
Hindsight bound,10.00277778,0.3901205944
Hindsight bound,10.00555556,0.3901612139
Hindsight bound,10.00833333,0.3901995194
Hindsight bound,10.01111111,0.3902371472
Hindsight bound,10.01388889,0.3902854
Hindsight bound,10.01666667,0.3903487278
Hindsight bound,10.01944444,0.3903893472
Hindsight bound,10.02222222,0.3904276528
Hindsight bound,10.025,0.3904734889
Hindsight bound,10.02777778,0.3905141083
Hindsight bound,10.03055556,0.3906111417
Hindsight bound,10.03333333,0.390678
Hindsight bound,10.03611111,0.3908053611
Hindsight bound,10.03888889,0.3908722194
Hindsight bound,10.04166667,0.3909434583
Hindsight bound,10.04444444,0.3910103167
Hindsight bound,10.04722222,0.3910736444
Hindsight bound,10.05,0.3911297889
Hindsight bound,10.05277778,0.39119185
Hindsight bound,10.05555556,0.3912479944
Hindsight bound,10.05833333,0.3912950472
Hindsight bound,10.06111111,0.391358375
Hindsight bound,10.06388889,0.3914132528
Hindsight bound,10.06666667,0.3914765806
Hindsight bound,10.06944444,0.3915172
Hindsight bound,10.07222222,0.3915707139
Hindsight bound,10.075,0.3916255917
Hindsight bound,10.07777778,0.3916889194
Hindsight bound,10.08055556,0.3917295389
Hindsight bound,10.08333333,0.3917749333
Hindsight bound,10.08611111,0.3918382611
Hindsight bound,10.08888889,0.391879425
Hindsight bound,10.09166667,0.3919374139
Hindsight bound,10.09444444,0.3919872722
Hindsight bound,10.09722222,0.3920506
Hindsight bound,10.1,0.3920912194
Hindsight bound,10.10277778,0.392129525
Hindsight bound,10.10555556,0.3921808889
Hindsight bound,10.10833333,0.3922411056
Hindsight bound,10.11111111,0.3922990944
Hindsight bound,10.11388889,0.3923397139
Hindsight bound,10.11666667,0.3923780194
Hindsight bound,10.11944444,0.3924262722
Hindsight bound,10.12222222,0.3924896
Hindsight bound,10.125,0.3925302194
Hindsight bound,10.12777778,0.392568525
Hindsight bound,10.13055556,0.3926143611
Hindsight bound,10.13333333,0.3926549806
