model_label,mean_final_steps,mean_final_reward
Hindsight bound,9.504109589,0.5546438356
Hindsight bound,9.506849315,0.5547351598
Hindsight bound,9.509589041,0.55474429225
Hindsight bound,9.512328767,0.5547534247
Hindsight bound,9.515068493,0.554890411
Hindsight bound,9.517808219,0.5550547945
Hindsight bound,9.520547945,0.55512328765
Hindsight bound,9.523287671,0.5551917808
Hindsight bound,9.526027397,0.5552374429
Hindsight bound,9.528767123,0.555283105
Hindsight bound,9.531506849,0.5553287671
Hindsight bound,9.534246575,0.5554200913
Hindsight bound,9.536986301,0.55542922375
Hindsight bound,9.539726027,0.5554383562
Hindsight bound,9.542465753,0.5555114155
Hindsight bound,9.545205479,0.5555570776
Hindsight bound,9.547945205,0.555739726
Hindsight bound,9.550684932,0.5558767123
Hindsight bound,9.553424658,0.5559071537
Hindsight bound,9.556164384,0.5559375951000001
Hindsight bound,9.55890411,0.5559680365
Hindsight bound,9.561643836,0.5560136986
Hindsight bound,9.564383562,0.5561050228
Hindsight bound,9.569863014,0.556196347
Hindsight bound,9.57260274,0.5562420091
Hindsight bound,9.575342466,0.5564246575
Hindsight bound,9.578082192,0.556458904075
Hindsight bound,9.580821918,0.5564931506499999
Hindsight bound,9.583561644,0.556527397225
Hindsight bound,9.58630137,0.5565616438
Hindsight bound,9.589041096,0.556652968
Hindsight bound,9.591780822,0.5567899543
Hindsight bound,9.594520548,0.5568203957
Hindsight bound,9.597260274,0.5568508371
Hindsight bound,9.6,0.5568812785
Hindsight bound,9.602739726,0.5569269406
Hindsight bound,9.605479452,0.5570182648
Hindsight bound,9.608219178,0.557109589
Hindsight bound,9.610958904,0.55713242005
Hindsight bound,9.61369863,0.5571552511
Hindsight bound,9.616438356,0.5573378995
Hindsight bound,9.619178082,0.557372146075
Hindsight bound,9.621917808,0.55740639265
Hindsight bound,9.624657534,0.5574406392250001
Hindsight bound,9.62739726,0.5574748858
Hindsight bound,9.630136986,0.55756621
Hindsight bound,9.632876712,0.5577031963
Hindsight bound,9.635616438,0.5577336377
Hindsight bound,9.638356164,0.5577640791
Hindsight bound,9.64109589,0.5577945205
Hindsight bound,9.643835616,0.5578401826
Hindsight bound,9.646575342,0.5578858447
Hindsight bound,9.649315068,0.5580228311
Hindsight bound,9.654794521,0.5581750381092593
Hindsight bound,9.657534247,0.5582511416
Hindsight bound,9.660273973,0.5582853881750001
Hindsight bound,9.663013699,0.55831963475
Hindsight bound,9.665753425,0.5583538813250001
Hindsight bound,9.668493151,0.5583881279
Hindsight bound,9.671232877,0.55843379
Hindsight bound,9.673972603,0.5585707763
Hindsight bound,9.676712329,0.5586164384
Hindsight bound,9.679452055,0.5586621005
Hindsight bound,9.682191781,0.5587077626
Hindsight bound,9.684931507,0.5587534247
Hindsight bound,9.687671233,0.5587990868
Hindsight bound,9.690410959,0.5589360731
Hindsight bound,9.693150685,0.5589817352
