model_label,mean_final_steps,mean_final_reward,policy,c_step,lambda_risk
ZOIB Regression,9.052197802197803,0.2990897774725276,policy2,0.0005,0.6
ZOIB Regression,9.10989010989011,0.2991739175824176,policy2,0.002,0.4
ZOIB Regression,9.18956043956044,0.3016740054945055,policy1,0.005,1.0
ZOIB Regression,9.417582417582418,0.30582711813186825,policy2,0.0001,0.6
ZOIB Regression,9.442307692307692,0.3060018406593407,policy2,5e-05,0.6
ZOIB Regression,9.486263736263735,0.306029381868132,policy2,0.0,0.6
ZOIB Regression,9.626373626373626,0.31091181318681327,policy2,0.001,0.45
ZOIB Regression,9.747252747252746,0.3116050686813188,policy2,0.002,0.3
ZOIB Regression,9.766483516483516,0.31187160989011,policy2,0.0005,0.5
ZOIB Regression,10.010989010989011,0.32014107142857146,policy2,0.001,0.4
ZOIB Regression,10.071428571428571,0.32051498351648355,policy2,0.0002,0.5
ZOIB Regression,10.148351648351648,0.3205662554945055,policy2,0.0001,0.5
ZOIB Regression,10.20054945054945,0.3225549368131869,policy2,0.002,0.25
ZOIB Regression,10.31868131868132,0.3234430027472528,policy2,5e-05,0.5
ZOIB Regression,10.409340659340659,0.3235324038461539,policy2,0.0,0.5
ZOIB Regression,10.571428571428571,0.3259787609890111,policy2,0.001,0.35
ZOIB Regression,10.728021978021978,0.32845573351648366,policy2,0.002,0.2
ZOIB Regression,10.914835164835164,0.3288583736263737,policy2,0.0005,0.4
ZOIB Regression,11.090659340659341,0.3319579670329671,policy2,0.0001,0.45
ZOIB Regression,11.225274725274724,0.33312152747252755,policy2,0.002,0.18
ZOIB Regression,11.25,0.3371881181318682,policy2,0.0,0.45
ZOIB Regression,11.51923076923077,0.33900661813186816,policy2,0.001,0.3
ZOIB Regression,11.56043956043956,0.34141821428571434,policy2,0.002,0.15
ZOIB Regression,11.791208791208792,0.34505996703296704,policy2,0.0005,0.35
ZOIB Regression,11.917582417582418,0.34810078571428565,policy2,0.0001,0.4
ZOIB Regression,12.06043956043956,0.35315031868131863,policy2,5e-05,0.4
ZOIB Regression,12.192307692307692,0.35315838461538457,policy2,0.0,0.4
ZOIB Regression,12.37087912087912,0.35548558516483514,policy2,0.001,0.25
ZOIB Regression,12.777472527472527,0.35786152197802196,policy2,0.002,0.09
ZOIB Regression,12.780219780219781,0.3611110796703297,policy2,0.0002,0.35
ZOIB Regression,12.87912087912088,0.36336044780219784,policy2,0.0005,0.3
ZOIB Regression,13.192307692307692,0.3634884423076923,policy2,0.0001,0.35
ZOIB Regression,13.42032967032967,0.3657810714285714,policy2,0.001,0.2
ZOIB Regression,13.607142857142858,0.3683617335164835,policy2,0.002,0.04
ZOIB Regression,13.763736263736265,0.36864725274725274,policy2,0.002,0.03
ZOIB Regression,14.37912087912088,0.3687256373626374,policy2,0.002,0.02
ZOIB Regression,14.925824175824175,0.36883971978021973,policy2,0.002,0.01
ZOIB Regression,15.162087912087912,0.369202282967033,policy1,0.002,1.0
ZOIB Regression,15.412087912087912,0.3693583489010989,policy2,0.0001,0.3
ZOIB Regression,15.719780219780219,0.3717849752747252,policy2,5e-05,0.3
ZOIB Regression,16.206043956043956,0.37189506318681315,policy2,0.0,0.3
ZOIB Regression,16.857142857142858,0.3719275521978021,policy2,0.0005,0.2
ZOIB Regression,16.947802197802197,0.3744488324175824,policy2,0.0002,0.25
ZOIB Regression,17.876373626373628,0.37999301373626365,policy2,0.0001,0.25
ZOIB Regression,18.494505494505493,0.38232073901098895,policy2,5e-05,0.25
ZOIB Regression,19.162087912087912,0.38771751923076925,policy2,0.0,0.25
ZOIB Regression,20.335164835164836,0.3878010247252748,policy2,0.0002,0.2
ZOIB Regression,21.832417582417584,0.39040704670329673,policy2,0.0001,0.2
ZOIB Regression,22.37087912087912,0.3906676236263737,policy2,5e-05,0.2
ZOIB Regression,23.445054945054945,0.3907360467032967,policy2,0.0,0.2
ZOIB Regression,24.175824175824175,0.39084744505494506,policy2,0.0005,0.1
ZOIB Regression,24.552197802197803,0.39121810989010997,policy2,5e-05,0.18
ZOIB Regression,25.346153846153847,0.39122942032967034,policy2,0.0,0.18
ZOIB Regression,25.78021978021978,0.39328357417582427,policy2,0.0005,0.08
ZOIB Regression,26.782967032967033,0.396109576923077,policy2,0.0005,0.07
ZOIB Regression,27.67032967032967,0.39808048626373627,policy2,0.0005,0.06
