model_label,mean_final_steps,reward_gap_to_oracle
Gaussian Head,13.5,-0.0246640574
Gaussian Head,13.75,-0.02192433138
Gaussian Head,14.0,-0.01849967384
Gaussian Head,14.25,-0.01781474234
Gaussian Head,14.5,-0.01726679713
Gaussian Head,14.75,-0.01566862361
Gaussian Head,15.0,-0.01498369211
Gaussian Head,15.25,-0.01075668624
Gaussian Head,15.5,-0.00915851272
Gaussian Head,15.75,-0.006053489889
Gaussian Head,16.0,-0.006053489889
Gaussian Head,16.25,-0.006053489889
Gaussian Head,16.5,-0.004683626875
Gaussian Head,16.75,-0.004227005871
Gaussian Head,17.0,-0.003679060665
Gaussian Head,17.25,-0.003679060665
Gaussian Head,17.5,-0.002765818656
Gaussian Head,17.75,-0.002765818656
Gaussian Head,18.0,-0.001826484018
Gaussian Head,18.25,-0.001826484018
Gaussian Head,18.5,-0.0009132420091
Gaussian Head,18.75,0.0
Gaussian Head,19.0,0.0
Gaussian Head,19.25,0.0
Gaussian Head,19.5,0.0
Gaussian Head,19.75,0.0
Gaussian Head,20.0,0.0
Feature ridge,8.25,-0.01344748858
Feature ridge,8.5,-0.03597260274
Feature ridge,8.75,-0.04583105023
Feature ridge,9.0,-0.05411415525
Feature ridge,9.25,-0.05423744292
Feature ridge,9.5,-0.05530593607
Feature ridge,9.75,-0.05214611872
Feature ridge,10.0,-0.05015981735
Feature ridge,10.25,-0.05174168297
Feature ridge,10.5,-0.04855446836
Feature ridge,10.75,-0.05089954338
Feature ridge,11.0,-0.05092237443
Feature ridge,11.25,-0.04930463144
Feature ridge,11.5,-0.04925896934
Feature ridge,11.75,-0.05024396608
Feature ridge,12.0,-0.05051793868
Feature ridge,12.25,-0.04558643183
Feature ridge,12.5,-0.044024788
Feature ridge,12.75,-0.04128506197
Feature ridge,13.0,-0.03936725375
Feature ridge,13.25,-0.0341617743
Feature ridge,13.5,-0.03292889759
Feature ridge,13.75,-0.03292889759
Feature ridge,14.0,-0.03000652316
Feature ridge,14.25,-0.02795172864
Feature ridge,14.5,-0.02544031311
Feature ridge,14.75,-0.0243444227
Feature ridge,15.0,-0.02274624918
Feature ridge,15.25,-0.02046314416
Feature ridge,15.5,-0.01681017613
Feature ridge,15.75,-0.0140704501
Feature ridge,16.0,-0.01315720809
Feature ridge,16.25,-0.01260926288
Feature ridge,16.5,-0.01055446836
Feature ridge,16.75,-0.008727984344
Feature ridge,17.0,-0.008336594912
Feature ridge,17.25,-0.006510110894
Feature ridge,17.5,-0.004227005871
Feature ridge,17.75,-0.003542074364
Feature ridge,18.0,-0.002309197652
Feature ridge,18.25,-0.001395955643
Feature ridge,18.5,-0.001395955643
Feature ridge,18.75,-0.001395955643
Feature ridge,19.0,-0.001395955643
Feature ridge,19.25,-0.00100456621
Feature ridge,19.5,-0.00100456621
Feature ridge,19.75,-0.0004566210046
Feature ridge,20.0,0.0
Early-step,8.25,-0.01792237443
Early-step,8.5,-0.04202283105
Early-step,8.75,-0.05499086758
Early-step,9.0,-0.06421461187
Early-step,9.25,-0.07133789954
Early-step,9.5,-0.07552185258
Early-step,9.75,-0.06855838226
Early-step,10.0,-0.07230267449
Early-step,10.25,-0.07322243966
Early-step,10.5,-0.07390737117
Early-step,10.75,-0.07406718852
Early-step,11.0,-0.06856490541
Early-step,11.25,-0.06772341813
Early-step,11.5,-0.06370515329
Early-step,11.75,-0.06395955643
Early-step,12.0,-0.06003261579
Early-step,12.25,-0.0612654925
Early-step,12.5,-0.05336594912
Early-step,12.75,-0.0475851272
Early-step,13.0,-0.04091846053
Early-step,13.25,-0.03445270711
Early-step,13.5,-0.03445270711
Early-step,13.75,-0.03366992825
Early-step,14.0,-0.03089367254
Early-step,14.25,-0.02952380952
Early-step,14.5,-0.02778864971
Early-step,14.75,-0.02596216569
Early-step,15.0,-0.0246060013
Early-step,15.25,-0.01940052185
Early-step,15.5,-0.01885257665
Early-step,15.75,-0.0142407045
Early-step,16.0,-0.0142407045
Early-step,16.25,-0.01243705153
Early-step,16.5,-0.01139595564
Early-step,16.75,-0.01071102414
Early-step,17.0,-0.01002609263
Early-step,17.25,-0.009569471624
Early-step,17.5,-0.009021526419
Early-step,17.75,-0.00614481409
Early-step,18.0,-0.005596868885
Early-step,18.25,-0.005596868885
Early-step,18.5,-0.004683626875
Early-step,18.75,-0.003835616438
Early-step,19.0,-0.0009132420091
Early-step,19.25,-0.0009132420091
Early-step,19.5,-0.0009132420091
Early-step,19.75,0.0
Early-step,20.0,0.0
Reservation,8.25,-0.01847031963
Reservation,8.5,-0.03558447489
Reservation,8.75,-0.04501369863
Reservation,9.0,-0.05747945205
Reservation,9.25,-0.05992694064
Reservation,9.5,-0.06322374429
Reservation,9.75,-0.0553652968
Reservation,10.0,-0.05534246575
Reservation,10.25,-0.05576908023
Reservation,10.5,-0.05690410959
Reservation,10.75,-0.05596803653
Reservation,11.0,-0.05489497717
Reservation,11.25,-0.05629093281
Reservation,11.5,-0.05309458578
Reservation,11.75,-0.05302935421
Reservation,12.0,-0.05156816699
Reservation,12.25,-0.04745857795
Reservation,12.5,-0.04274624918
Reservation,12.75,-0.03891063275
Reservation,13.0,-0.03658186562
Reservation,13.25,-0.03480104371
Reservation,13.5,-0.03274624918
Reservation,13.75,-0.03000652316
Reservation,14.0,-0.03000652316
Reservation,14.25,-0.02945857795
Reservation,14.5,-0.02822570124
Reservation,14.75,-0.0241161122
Reservation,15.0,-0.02023483366
Reservation,15.25,-0.01795172864
Reservation,15.5,-0.01270058708
Reservation,15.75,-0.01178734508
Reservation,16.0,-0.009569471624
Reservation,16.25,-0.008656229615
Reservation,16.5,-0.006829745597
Reservation,16.75,-0.006373124592
Reservation,17.0,-0.00514024788
Reservation,17.25,-0.00514024788
Reservation,17.5,-0.00514024788
Reservation,17.75,-0.00514024788
Reservation,18.0,-0.004683626875
Reservation,18.25,-0.003378995434
Reservation,18.5,-0.002465753425
Reservation,18.75,-0.001552511416
Reservation,19.0,-0.001095890411
Reservation,19.25,-0.001095890411
Reservation,19.5,-0.0005479452055
Reservation,19.75,0.0
Reservation,20.0,0.0
